שם ח״כ,מפלגה,שעות,ועדות,שאילתות
חיים ביטון,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",72:00,2,0
יאסר חוג'יראת,"רע""ם",71:43,3,2
דוד אמסלם,הליכוד,71:31,0,0
מאי גולן,הליכוד,71:03,0,0
דני דנון,הליכוד,68:24,0,0
יעקב טסלר,יהדות התורה,66:23,0,0
מירי מרים רגב,הליכוד,64:17,0,0
אבי דיכטר,הליכוד,64:14,0,0
ישראל כץ,הליכוד,61:05,0,0
שלמה קרעי,הליכוד,60:52,0,0
ניר ברקת,הליכוד,59:34,0,0
יואב גלנט,הליכוד,59:29,0,0
אופיר סופר,הציונות הדתית בראשות בצלאל סמוטריץ',58:38,0,0
אופיר אקוניס,הליכוד,57:59,0,0
בני גנץ,המחנה הממלכתי,57:58,1,0
בועז טופורובסקי,יש עתיד,57:13,8,1
יאיר לפיד,יש עתיד,50:51,0,0
רון דרמר,אינו חבר כנסת,46:28,0,0
אליהו ברוכי,יהדות התורה,44:59,0,0
עידית סילמן,הליכוד,44:09,0,0
אלי אליהו כהן,הליכוד,42:40,4,0
גילה גמליאל,הליכוד,42:23,0,0
בנימין נתניהו,הליכוד,40:31,0,0
יצחק גולדקנופ,יהדות התורה,35:13,1,0
חיים כץ,הליכוד,29:17,0,0
משה רוט,יהדות התורה,22:43,0,0
אריה מכלוף דרעי,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",22:16,0,0
מכלוף מיקי זוהר,הליכוד,21:11,0,0
סימיון מושיאשוילי,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",00:00,0,0
ארז מלול,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",00:00,0,0
שלי טל מירון,יש עתיד,00:00,0,0
ווליד טאהא,"רע""ם",00:00,1,0
